City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Kaitangata,NZ,2022-03-23 20:04:05,-46.2817,169.8464,57.61,75,100,13.13
137,Bojonegoro,ID,2022-03-23 20:04:06,-7.1502,111.8817,76.46,92,100,3.09
138,Lata,PT,2022-03-23 20:05:06,40.1629,-8.3327,52.83,71,93,10.83
139,Dingle,PH,2022-03-23 20:05:06,10.9995,122.6711,76.15,83,6,5.68
140,Don Benito,ES,2022-03-23 20:05:06,38.9563,-5.8616,51.01,74,100,21.43
141,Pokhara,NP,2022-03-23 20:05:07,28.2333,83.9833,67.08,23,0,7.65
142,Ucluelet,CA,2022-03-23 20:05:07,48.9329,-125.5528,49.08,86,61,7.0
143,Quatre Cocos,MU,2022-03-23 20:05:07,-20.2078,57.7625,80.1,75,95,13.04
144,Novospasskoye,RU,2022-03-23 20:05:08,53.1468,47.7514,31.86,94,80,4.9
145,Puerto Escondido,MX,2022-03-23 20:05:08,15.85,-97.0667,86.83,66,0,6.91
146,Storslett,NO,2022-03-23 20:05:08,69.7678,21.0247,33.8,86,75,10.36
147,Trairi,BR,2022-03-23 20:03:35,-3.2778,-39.2689,75.45,85,100,6.76
148,Scottsbluff,US,2022-03-23 20:03:02,41.8666,-103.6672,55.63,19,0,19.57
149,Singaraja,ID,2022-03-23 20:05:08,-8.112,115.0882,79.65,86,100,2.37
150,Victoria,HK,2022-03-23 20:01:18,22.2855,114.1577,63.32,89,100,4.0
151,Nelson Bay,AU,2022-03-23 20:05:09,-32.7167,152.15,67.08,93,100,1.01
152,Macapa,BR,2022-03-23 20:05:09,0.0389,-51.0664,78.78,94,75,13.8
153,Berezanka,UA,2022-03-23 20:05:09,46.8526,31.388,43.86,42,0,3.76
154,Hami,CN,2022-03-23 20:05:09,42.8,93.45,43.27,37,100,15.32
155,Poum,NC,2022-03-23 20:05:10,-20.2333,164.0167,78.89,78,100,6.15
156,Shar,KZ,2022-03-23 20:05:10,49.5886,81.0453,22.48,93,100,20.58
157,Hasaki,JP,2022-03-23 20:05:10,35.7333,140.8333,36.0,86,100,20.2
158,Saldanha,ZA,2022-03-23 20:05:10,-33.0117,17.9442,65.75,90,39,18.95
159,Ciudad Del Maiz,MX,2022-03-23 20:05:11,22.4,-99.6,70.74,22,13,7.99
160,Ahipara,NZ,2022-03-23 20:05:11,-35.1667,173.1667,67.03,77,88,15.39
161,Zomin,UZ,2022-03-23 20:05:11,39.9606,68.3958,36.34,98,100,2.3
162,Southbridge,US,2022-03-23 20:04:32,42.0751,-72.0334,49.39,34,100,3.0
163,Chokurdakh,RU,2022-03-23 20:05:11,70.6333,147.9167,-4.56,99,100,4.32
164,Torbay,CA,2022-03-23 20:00:34,47.6666,-52.7314,33.58,83,98,9.1
165,Ribeira Grande,PT,2022-03-23 20:05:12,38.5167,-28.7,63.0,67,75,4.61
166,Diffa,NE,2022-03-23 20:05:12,13.3154,12.6113,81.52,14,100,7.81
167,Kodiak,US,2022-03-23 20:05:12,57.79,-152.4072,33.31,80,100,3.44
168,Katsuura,JP,2022-03-23 20:05:13,35.1333,140.3,41.02,92,100,16.06
169,Melendugno,IT,2022-03-23 20:05:13,40.2747,18.3368,54.0,81,0,16.26
170,Saint-Philippe,RE,2022-03-23 20:05:13,-21.3585,55.7679,78.39,85,49,11.99
171,Ryotsu,JP,2022-03-23 20:05:13,38.0833,138.4333,41.11,92,99,6.76
172,Fortuna,US,2022-03-23 20:05:14,40.5982,-124.1573,56.66,93,75,8.05
173,Xining,CN,2022-03-23 20:05:14,36.6167,101.7667,44.65,35,100,3.51
174,Kapaa,US,2022-03-23 20:05:14,22.0752,-159.319,78.19,77,75,16.11
175,Manacapuru,BR,2022-03-23 20:05:14,-3.2997,-60.6206,84.81,70,92,1.5
176,Svetlaya,RU,2022-03-23 20:05:15,46.5389,138.3297,30.43,82,100,4.16
177,Longyearbyen,SJ,2022-03-23 20:05:15,78.2186,15.6401,-0.56,71,20,9.22
178,Klaksvik,FO,2022-03-23 20:05:15,62.2266,-6.589,45.52,94,100,5.68
179,Port-Gentil,GA,2022-03-23 20:01:16,-0.7193,8.7815,81.32,83,11,11.52
180,Saint-Joseph,RE,2022-03-23 20:05:16,-21.3667,55.6167,77.38,85,31,10.89
181,Bengkulu,ID,2022-03-23 20:05:16,-3.8004,102.2655,75.45,85,100,4.83
182,Benghazi,LY,2022-03-23 20:02:58,32.1167,20.0667,54.5,67,30,9.93
183,Khatanga,RU,2022-03-23 20:05:16,71.9667,102.5,3.97,97,100,4.94
184,Purpe,RU,2022-03-23 20:06:16,64.4803,76.6897,6.71,96,93,11.21
185,Lufilufi,WS,2022-03-23 20:06:17,-13.8745,-171.5986,79.79,77,99,8.37
186,Grand Gaube,MU,2022-03-23 20:06:17,-20.0064,57.6608,80.38,82,70,1.99
187,Batagay,RU,2022-03-23 20:06:17,67.6333,134.6333,-6.99,100,89,3.36
188,Chuy,UY,2022-03-23 20:06:17,-33.6971,-53.4616,76.96,68,100,12.86
189,Bambous Virieux,MU,2022-03-23 20:06:18,-20.3428,57.7575,80.22,74,97,13.13
190,Mayo,US,2022-03-23 20:06:18,38.8876,-76.5119,53.55,83,75,12.66
191,Luderitz,NA,2022-03-23 20:06:18,-26.6481,15.1594,64.35,89,0,10.02
192,Barra Do Bugres,BR,2022-03-23 20:06:18,-15.0725,-57.1811,84.92,78,30,3.76
193,Talnakh,RU,2022-03-23 20:06:19,69.4865,88.3972,1.27,83,100,9.24
194,Soro,IN,2022-03-23 20:06:19,21.2881,86.6858,74.71,97,35,8.59
195,Tomatlan,MX,2022-03-23 20:06:19,19.9333,-105.25,91.54,18,22,10.11
196,Airai,TL,2022-03-23 20:06:19,-8.9266,125.4092,58.84,93,98,1.5
197,Kanniyakumari,IN,2022-03-23 20:06:20,8.0833,77.5667,81.18,83,9,11.25
198,Acapulco,MX,2022-03-23 20:02:34,16.8634,-99.8901,84.87,51,0,9.69
199,Sibolga,ID,2022-03-23 20:06:20,1.7427,98.7792,76.64,84,31,3.4
200,Clyde River,CA,2022-03-23 20:06:20,70.4692,-68.5914,-4.92,92,100,5.21
201,Babol,IR,2022-03-23 20:06:20,36.5513,52.679,43.48,84,96,2.48
202,Ribas Do Rio Pardo,BR,2022-03-23 20:06:21,-20.4431,-53.7592,85.93,52,100,9.55
203,La Ronge,CA,2022-03-23 20:06:21,55.1001,-105.2842,38.48,99,100,8.59
204,Ponta Delgada,PT,2022-03-23 20:02:59,37.7333,-25.6667,64.51,72,20,8.05
